Occupation Title;Occupation Code;Occupation Type;2023 Employment;2023 Percent of Industry;2023 Percent of Occupation;Projected 2033 Employment;Projected 2033 Percent of Industry;Projected 2033 Percent of Occupation;Employment Change, 2023-2033;Employment Percent Change, 2023-2033;Occupation Sort;Display Level;source_file;Industry Title;Industry Code;Industry Type;Industry Sort
Production, planning, and expediting clerks;"=""43-5061""";Line Item;6.6;0.4;1.7;7.0;0.4;1.7;0.3;5.3;722.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Shipping, receiving, and inventory clerks;"=""43-5071""";Line Item;3.6;0.2;0.4;3.4;0.2;0.4;-0.2;-5.1;723.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Weighers, measurers, checkers, and samplers, recordkeeping;"=""43-5111""";Line Item;0.5;0.0;1.0;0.5;0.0;1.0;0.0;-5.2;724.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Secretaries and administrative assistants;"=""43-6000""";Summary;45.1;2.7;1.3;45.0;2.6;1.3;-0.1;-0.2;725.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Executive secretaries and executive administrative assistants;"=""43-6011""";Line Item;9.2;0.6;1.8;9.1;0.5;1.8;0.0;-0.2;726.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Secretaries and administrative assistants, except legal, medical, and executive;"=""43-6014""";Line Item;35.9;2.2;1.8;35.8;2.1;1.8;0.0;-0.1;729.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Other office and administrative support workers;"=""43-9000""";Summary;34.3;2.1;1.0;32.0;1.8;1.0;-2.3;-6.8;730.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Data entry and information processing workers;"=""43-9020""";Summary;1.9;0.1;1.0;1.4;0.1;0.9;-0.5;-28.0;731.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Data entry keyers;"=""43-9021""";Line Item;1.6;0.1;1.0;1.2;0.1;1.0;-0.4;-26.2;732.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Word processors and typists;"=""43-9022""";Line Item;0.3;0.0;0.8;0.2;0.0;0.8;-0.1;-36.7;733.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Desktop publishers;"=""43-9031""";Line Item;0.1;0.0;0.8;0.0;0.0;0.8;0.0;-11.3;734.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Office clerks, general;"=""43-9061""";Line Item;31.0;1.9;1.2;29.3;1.7;1.2;-1.7;-5.4;737.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Office machine operators, except computer;"=""43-9071""";Line Item;0.1;0.0;0.5;0.1;0.0;0.5;0.0;-15.6;738.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Office and administrative support workers, all other;"=""43-9199""";Line Item;1.1;0.1;0.5;1.0;0.1;0.5;-0.1;-7.6;741.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Farming, fishing, and forestry occupations;"=""45-0000""";Summary;0.4;0.0;0.0;0.4;0.0;0.0;0.0;-1.0;742.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Agricultural workers;"=""45-2000""";Summary;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.6;745.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Agricultural inspectors;"=""45-2011""";Line Item;0.1;0.0;0.6;0.1;0.0;0.6;0.0;5.3;746.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Graders and sorters, agricultural products;"=""45-2041""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;-5.3;748.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous agricultural workers;"=""45-2090""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;2.6;749.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Agricultural workers, all other;"=""45-2099""";Line Item;0.1;0.0;0.6;0.1;0.0;0.6;0.0;5.5;753.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Construction and extraction occupations;"=""47-0000""";Summary;68.5;4.1;0.9;70.0;4.0;0.9;1.5;2.3;763.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of construction and extraction workers;"=""47-1000""";Summary;7.0;0.4;0.8;7.4;0.4;0.8;0.4;5.3;764.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of construction trades and extraction workers;"=""47-1011""";Line Item;7.0;0.4;0.8;7.4;0.4;0.8;0.4;5.3;765.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Construction trades workers;"=""47-2000""";Summary;16.2;1.0;0.3;17.0;1.0;0.3;0.8;4.8;766.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Boilermakers;"=""47-2011""";Line Item;0.3;0.0;2.5;0.3;0.0;2.7;0.0;5.5;767.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Carpenters;"=""47-2031""";Line Item;0.9;0.1;0.1;1.0;0.1;0.1;0.0;4.6;771.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Cement masons, concrete finishers, and terrazzo workers;"=""47-2050""";Summary;0.7;0.0;0.3;0.7;0.0;0.3;0.0;-6.2;777.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Cement masons and concrete finishers;"=""47-2051""";Line Item;0.7;0.0;0.3;0.7;0.0;0.3;0.0;-6.2;778.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Construction laborers;"=""47-2061""";Line Item;6.1;0.4;0.4;6.4;0.4;0.4;0.3;5.1;780.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Construction equipment operators;"=""47-2070""";Summary;1.6;0.1;0.3;1.7;0.1;0.3;0.1;5.5;781.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Operating engineers and other construction equipment operators;"=""47-2073""";Line Item;1.5;0.1;0.3;1.6;0.1;0.3;0.1;5.5;784.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Electricians;"=""47-2111""";Line Item;4.1;0.2;0.5;4.3;0.2;0.5;0.2;5.5;788.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Insulation workers;"=""47-2130""";Summary;0.1;0.0;0.2;0.1;0.0;0.2;0.0;5.9;790.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Insulation workers, mechanical;"=""47-2132""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;5.8;792.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Painters and paperhangers;"=""47-2140""";Summary;0.3;0.0;0.1;0.3;0.0;0.1;0.0;5.4;793.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Painters, construction and maintenance;"=""47-2141""";Line Item;0.3;0.0;0.1;0.3;0.0;0.1;0.0;5.4;794.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Pipelayers, plumbers, pipefitters, and steamfitters;"=""47-2150""";Summary;1.5;0.1;0.3;1.6;0.1;0.3;0.1;5.5;796.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Plumbers, pipefitters, and steamfitters;"=""47-2152""";Line Item;1.2;0.1;0.3;1.3;0.1;0.3;0.1;5.5;798.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Structural iron and steel workers;"=""47-2221""";Line Item;0.1;0.0;0.2;0.2;0.0;0.2;0.0;5.6;803.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Solar photovoltaic installers;"=""47-2231""";Line Item;0.1;0.0;0.4;0.1;0.0;0.3;0.0;5.5;804.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Helpers, construction trades;"=""47-3000""";Summary;0.8;0.1;0.4;0.9;0.1;0.4;0.0;5.6;805.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Helpers--electricians;"=""47-3013""";Line Item;0.5;0.0;0.8;0.6;0.0;0.8;0.0;5.5;808.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Other construction and related workers;"=""47-4000""";Summary;42.2;2.5;8.8;42.4;2.4;8.6;0.2;0.5;813.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Construction and building inspectors;"=""47-4011""";Line Item;40.8;2.5;28.6;41.0;2.4;28.7;0.1;0.4;814.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Hazardous materials removal workers;"=""47-4041""";Line Item;0.9;0.1;1.8;0.9;0.1;1.8;0.0;5.5;817.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous construction and related workers;"=""47-4090""";Line Item;0.2;0.0;0.7;0.2;0.0;0.7;0.0;5.6;821.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Extraction workers;"=""47-5000""";Summary;2.3;0.1;1.0;2.4;0.1;1.1;0.1;5.5;822.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Derrick, rotary drill, and service unit operators, oil and gas;"=""47-5010""";Summary;0.4;0.0;0.5;0.4;0.0;0.5;0.0;5.6;823.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Rotary drill operators, oil and gas;"=""47-5012""";Line Item;0.2;0.0;1.5;0.2;0.0;1.5;0.0;5.5;825.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Service unit operators, oil and gas;"=""47-5013""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;5.7;826.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Surface mining machine operators and earth drillers;"=""47-5020""";Summary;1.4;0.1;2.7;1.5;0.1;2.8;0.1;5.4;827.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Earth drillers, except oil and gas;"=""47-5023""";Line Item;1.2;0.1;6.2;1.2;0.1;6.3;0.1;5.4;829.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Explosives workers, ordnance handling experts, and blasters;"=""47-5032""";Line Item;0.1;0.0;2.2;0.1;0.0;2.3;0.0;5.5;830.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Roustabouts, oil and gas;"=""47-5071""";Line Item;0.1;0.0;0.2;0.1;0.0;0.2;0.0;5.5;837.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Helpers--extraction workers;"=""47-5081""";Line Item;0.3;0.0;3.5;0.3;0.0;3.7;0.0;5.4;838.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Installation, maintenance, and repair occupations;"=""49-0000""";Summary;22.5;1.4;0.3;23.7;1.4;0.3;1.2;5.2;840.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of installation, maintenance, and repair workers;"=""49-1000""";Summary;1.9;0.1;0.3;2.0;0.1;0.3;0.1;5.5;841.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of mechanics, installers, and repairers;"=""49-1011""";Line Item;1.9;0.1;0.3;2.0;0.1;0.3;0.1;5.5;842.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Electrical and electronic equipment mechanics, installers, and repairers;"=""49-2000""";Summary;5.2;0.3;1.0;5.4;0.3;1.0;0.2;4.6;843.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Radio and telecommunications equipment installers and repairers;"=""49-2020""";Summary;1.0;0.1;0.6;1.1;0.1;0.6;0.1;5.5;845.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Radio, cellular, and tower equipment installers and repairers;"=""49-2021""";Line Item;0.5;0.0;3.8;0.5;0.0;3.7;0.0;5.5;846.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Telecommunications equipment installers and repairers, except line installers;"=""49-2022""";Line Item;0.6;0.0;0.3;0.6;0.0;0.4;0.0;5.5;847.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous electrical and electronic equipment mechanics, installers, and repairers;"=""49-2090""";Summary;4.1;0.2;1.6;4.3;0.2;1.6;0.2;4.3;848.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Avionics technicians;"=""49-2091""";Line Item;1.3;0.1;6.1;1.4;0.1;6.0;0.1;5.5;849.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Electrical and electronics repairers, commercial and industrial equipment;"=""49-2094""";Line Item;1.5;0.1;2.6;1.6;0.1;2.6;0.0;2.4;852.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Electrical and electronics repairers, powerhouse, substation, and relay;"=""49-2095""";Line Item;1.1;0.1;4.3;1.1;0.1;4.5;0.1;5.5;853.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Vehicle and mobile equipment mechanics, installers, and repairers;"=""49-3000""";Summary;3.2;0.2;0.2;3.4;0.2;0.2;0.2;5.5;857.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Aircraft mechanics and service technicians;"=""49-3011""";Line Item;1.5;0.1;1.1;1.6;0.1;1.1;0.1;5.5;858.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Automotive technicians and repairers;"=""49-3020""";Summary;0.7;0.0;0.1;0.8;0.0;0.1;0.0;5.5;859.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Automotive service technicians and mechanics;"=""49-3023""";Line Item;0.7;0.0;0.1;0.7;0.0;0.1;0.0;5.5;862.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Bus and truck mechanics and diesel engine specialists;"=""49-3031""";Line Item;0.2;0.0;0.1;0.2;0.0;0.1;0.0;5.5;863.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Heavy vehicle and mobile equipment service technicians and mechanics;"=""49-3040""";Summary;0.5;0.0;0.2;0.6;0.0;0.2;0.0;5.5;864.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Mobile heavy equipment mechanics, except engines;"=""49-3042""";Line Item;0.5;0.0;0.3;0.6;0.0;0.3;0.0;5.5;866.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Other installation, maintenance, and repair occupations;"=""49-9000""";Summary;12.2;0.7;0.4;12.8;0.7;0.3;0.7;5.4;876.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Heating, air conditioning, and refrigeration mechanics and installers;"=""49-9021""";Line Item;1.2;0.1;0.3;1.2;0.1;0.3;0.1;5.5;880.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Industrial machinery installation, repair, and maintenance workers;"=""49-9040""";Summary;2.9;0.2;0.5;3.0;0.2;0.5;0.2;5.5;882.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Industrial machinery mechanics;"=""49-9041""";Line Item;2.2;0.1;0.5;2.3;0.1;0.5;0.1;5.5;883.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Maintenance workers, machinery;"=""49-9043""";Line Item;0.4;0.0;0.6;0.4;0.0;0.6;0.0;5.5;884.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Millwrights;"=""49-9044""";Line Item;0.3;0.0;0.8;0.4;0.0;0.8;0.0;5.5;885.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Line installers and repairers;"=""49-9050""";Summary;1.2;0.1;0.5;1.2;0.1;0.5;0.1;5.6;887.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Telecommunications line installers and repairers;"=""49-9052""";Line Item;0.8;0.0;0.8;0.9;0.1;0.9;0.0;5.5;889.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Precision instrument and equipment repairers;"=""49-9060""";Summary;0.5;0.0;0.6;0.5;0.0;0.5;0.0;5.4;890.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Precision instrument and equipment repairers, all other;"=""49-9069""";Line Item;0.4;0.0;3.6;0.4;0.0;3.6;0.0;5.4;895.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Maintenance and repair workers, general;"=""49-9071""";Line Item;4.0;0.2;0.2;4.2;0.2;0.2;0.2;5.3;896.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Wind turbine service technicians;"=""49-9081""";Line Item;0.1;0.0;0.6;0.1;0.0;0.4;0.0;5.4;897.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous installation, maintenance, and repair workers;"=""49-9090""";Summary;2.3;0.1;0.6;2.4;0.1;0.6;0.1;5.3;898.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Commercial divers;"=""49-9092""";Line Item;0.1;0.0;1.7;0.1;0.0;1.6;0.0;5.6;900.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Helpers--installation, maintenance, and repair workers;"=""49-9098""";Line Item;0.5;0.0;0.5;0.6;0.0;0.5;0.0;5.5;905.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Installation, maintenance, and repair workers, all other;"=""49-9099""";Line Item;1.4;0.1;0.7;1.5;0.1;0.7;0.1;5.3;906.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Production occupations;"=""51-0000""";Summary;59.4;3.6;0.7;60.9;3.5;0.7;1.5;2.5;907.0;1;National_Employment_Matrix_IND_541300.csv;;;;
Supervisors of production workers;"=""51-1000""";Summary;4.8;0.3;0.7;5.0;0.3;0.7;0.3;5.4;908.0;2;National_Employment_Matrix_IND_541300.csv;;;;
First-line supervisors of production and operating workers;"=""51-1011""";Line Item;4.8;0.3;0.7;5.0;0.3;0.7;0.3;5.4;909.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Assemblers and fabricators;"=""51-2000""";Summary;10.7;0.6;0.5;11.0;0.6;0.6;0.3;2.7;910.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Aircraft structure, surfaces, rigging, and systems assemblers;"=""51-2011""";Line Item;0.5;0.0;1.6;0.4;0.0;1.6;-0.1;-15.6;911.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Electrical, electronics, and electromechanical assemblers;"=""51-2020""";Summary;5.3;0.3;1.9;5.6;0.3;1.9;0.3;5.5;912.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers;"=""51-2028""";Line Item;5.3;0.3;2.0;5.6;0.3;1.9;0.3;5.5;914.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Engine and other machine assemblers;"=""51-2031""";Line Item;0.9;0.1;1.8;0.8;0.0;2.1;0.0;-5.0;915.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Structural metal fabricators and fitters;"=""51-2041""";Line Item;0.3;0.0;0.5;0.2;0.0;0.5;0.0;-15.5;916.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous assemblers and fabricators;"=""51-2090""";Line Item;3.7;0.2;0.2;3.8;0.2;0.3;0.2;4.3;919.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Metal workers and plastic workers;"=""51-4000""";Summary;7.6;0.5;0.5;7.9;0.5;0.5;0.2;3.2;931.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Machine tool cutting setters, operators, and tenders, metal and plastic;"=""51-4030""";Summary;0.7;0.0;0.2;0.6;0.0;0.2;-0.1;-7.7;936.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Cutting, punching, and press machine setters, operators, and tenders, metal and plastic;"=""51-4031""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;-5.1;937.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Drilling and boring machine tool setters, operators, and tenders, metal and plastic;"=""51-4032""";Line Item;0.1;0.0;2.4;0.1;0.0;2.5;0.0;-15.7;938.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic;"=""51-4033""";Line Item;0.4;0.0;0.5;0.3;0.0;0.5;0.0;-5.0;939.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Machinists;"=""51-4041""";Line Item;2.8;0.2;1.0;3.0;0.2;1.0;0.2;5.5;942.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Model makers and patternmakers, metal and plastic;"=""51-4060""";Summary;0.3;0.0;5.0;0.2;0.0;5.3;0.0;-15.6;946.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Model makers, metal and plastic;"=""51-4061""";Line Item;0.3;0.0;8.8;0.2;0.0;9.1;0.0;-15.6;947.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Molders and molding machine setters, operators, and tenders, metal and plastic;"=""51-4070""";Summary;0.3;0.0;0.2;0.3;0.0;0.2;0.0;0.0;949.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic;"=""51-4072""";Line Item;0.3;0.0;0.2;0.3;0.0;0.2;0.0;0.3;951.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Multiple machine tool setters, operators, and tenders, metal and plastic;"=""51-4081""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.5;952.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Tool and die makers;"=""51-4111""";Line Item;0.4;0.0;0.6;0.4;0.0;0.7;0.0;5.5;953.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Welding, soldering, and brazing workers;"=""51-4120""";Summary;3.1;0.2;0.6;3.2;0.2;0.7;0.2;4.9;954.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Welders, cutters, solderers, and brazers;"=""51-4121""";Line Item;2.9;0.2;0.6;3.1;0.2;0.7;0.2;5.6;955.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Printing workers;"=""51-5100""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;5.7;963.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Printing press operators;"=""51-5112""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.5;965.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Woodworkers;"=""51-7000""";Summary;0.1;0.0;0.0;0.1;0.0;0.0;0.0;3.6;987.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Plant and system operators;"=""51-8000""";Summary;1.6;0.1;0.6;1.6;0.1;0.6;0.0;-0.8;997.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Power plant operators, distributors, and dispatchers;"=""51-8010""";Summary;0.3;0.0;0.7;0.3;0.0;0.8;0.0;0.3;998.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Power plant operators;"=""51-8013""";Line Item;0.3;0.0;1.0;0.3;0.0;1.1;0.0;0.2;1001.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Stationary engineers and boiler operators;"=""51-8021""";Line Item;0.2;0.0;0.5;0.2;0.0;0.5;0.0;5.5;1002.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Water and wastewater treatment plant and system operators;"=""51-8031""";Line Item;0.8;0.0;0.6;0.8;0.0;0.7;0.0;-5.0;1003.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous plant and system operators;"=""51-8090""";Summary;0.3;0.0;0.4;0.3;0.0;0.4;0.0;5.5;1004.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Plant and system operators, all other;"=""51-8099""";Line Item;0.2;0.0;1.6;0.3;0.0;1.6;0.0;5.5;1008.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Other production occupations;"=""51-9000""";Summary;34.4;2.1;1.3;35.1;2.0;1.3;0.7;2.0;1009.0;2;National_Employment_Matrix_IND_541300.csv;;;;
Chemical processing machine setters, operators, and tenders;"=""51-9010""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;5.3;1010.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Chemical equipment operators and tenders;"=""51-9011""";Line Item;0.2;0.0;0.1;0.2;0.0;0.2;0.0;5.3;1011.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Crushing, grinding, polishing, mixing, and blending workers;"=""51-9020""";Summary;0.2;0.0;0.1;0.2;0.0;0.1;0.0;3.3;1013.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Crushing, grinding, and polishing machine setters, operators, and tenders;"=""51-9021""";Line Item;0.1;0.0;0.3;0.1;0.0;0.3;0.0;0.2;1014.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Mixing and blending machine setters, operators, and tenders;"=""51-9023""";Line Item;0.1;0.0;0.1;0.1;0.0;0.1;0.0;5.5;1016.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Inspectors, testers, sorters, samplers, and weighers;"=""51-9061""";Line Item;30.4;1.8;5.1;30.9;1.8;5.4;0.5;1.8;1022.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Packaging and filling machine operators and tenders;"=""51-9111""";Line Item;0.1;0.0;0.0;0.1;0.0;0.0;0.0;5.4;1028.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Painting workers;"=""51-9120""";Summary;0.6;0.0;0.3;0.6;0.0;0.3;0.0;5.5;1029.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Coating, painting, and spraying machine setters, operators, and tenders;"=""51-9124""";Line Item;0.5;0.0;0.3;0.6;0.0;0.3;0.0;5.5;1031.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Computer numerically controlled tool operators and programmers;"=""51-9160""";Summary;0.9;0.1;0.4;0.9;0.1;0.4;0.0;5.5;1034.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Computer numerically controlled tool operators;"=""51-9161""";Line Item;0.5;0.0;0.3;0.5;0.0;0.3;0.0;-5.0;1035.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Computer numerically controlled tool programmers;"=""51-9162""";Line Item;0.4;0.0;1.3;0.4;0.0;1.4;0.1;19.3;1036.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Miscellaneous production workers;"=""51-9190""";Summary;1.5;0.1;0.2;1.5;0.1;0.2;0.0;1.5;1037.0;3;National_Employment_Matrix_IND_541300.csv;;;;
Helpers--production workers;"=""51-9198""";Line Item;0.6;0.0;0.3;0.5;0.0;0.3;0.0;-5.1;1045.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Production workers, all other;"=""51-9199""";Line Item;0.5;0.0;0.2;0.5;0.0;0.2;0.0;5.5;1046.0;4;National_Employment_Matrix_IND_541300.csv;;;;
Transportation and material moving occupations;"=""53-0000""";Summary;11.2;0.7;0.1;11.8;0.7;0.1;0.6;5.1;1047.0;1;National_Employment_Matrix_IND_541300.csv;;;;
