occupation_title;occupation_code;2023_employment;projected_2033_employment;employment_percent_change_2023-2033;employment_change_2023-2033
Law, criminal justice, and social work teachers, postsecondary;"=""25-1110""";50.0;51.4;2.9;1.4
Criminal justice and law enforcement teachers, postsecondary;"=""25-1111""";16.0;16.4;2.9;0.5
Law teachers, postsecondary;"=""25-1112""";18.9;19.3;2.2;0.4
Social work teachers, postsecondary;"=""25-1113""";15.1;15.6;3.6;0.5
Arts, communications, history, and humanities teachers, postsecondary;"=""25-1120""";309.3;315.6;2.0;6.3
Art, drama, and music teachers, postsecondary;"=""25-1121""";126.7;130.1;2.7;3.4
Communications teachers, postsecondary;"=""25-1122""";34.9;36.1;3.3;1.2
English language and literature teachers, postsecondary;"=""25-1123""";70.0;70.8;1.1;0.8
Foreign language and literature teachers, postsecondary;"=""25-1124""";25.8;26.1;0.9;0.2
History teachers, postsecondary;"=""25-1125""";25.7;25.9;0.9;0.2
Philosophy and religion teachers, postsecondary;"=""25-1126""";26.1;26.6;2.0;0.5
Miscellaneous postsecondary teachers;"=""25-1190""";331.3;338.3;2.1;7.0
Family and consumer sciences teachers, postsecondary;"=""25-1192""";3.3;3.5;4.3;0.1
Recreation and fitness studies teachers, postsecondary;"=""25-1193""";16.1;16.7;3.4;0.5
Career/technical education teachers, postsecondary;"=""25-1194""";112.4;112.4;0.0;0.0
Postsecondary teachers, all other;"=""25-1199""";199.5;205.8;3.2;6.3
Preschool, elementary, middle, secondary, and special education teachers;"=""25-2000""";3919.0;3890.5;-0.7;-28.5
Preschool and kindergarten teachers;"=""25-2010""";208.6;207.7;-0.4;-0.8
Preschool teachers, except special education;"=""25-2011""";90.5;90.6;0.1;0.1
Kindergarten teachers, except special education;"=""25-2012""";118.0;117.2;-0.7;-0.9
Elementary and middle school teachers;"=""25-2020""";2061.8;2045.8;-0.8;-16.0
Elementary school teachers, except special education;"=""25-2021""";1417.9;1406.9;-0.8;-11.1
Middle school teachers, except special and career/technical education;"=""25-2022""";631.8;627.0;-0.8;-4.8
Career/technical education teachers, middle school;"=""25-2023""";12.1;12.0;-0.9;-0.1
Secondary school teachers;"=""25-2030""";1142.2;1134.1;-0.7;-8.1
Secondary school teachers, except special and career/technical education;"=""25-2031""";1055.6;1048.4;-0.7;-7.3
Career/technical education teachers, secondary school;"=""25-2032""";86.6;85.8;-0.9;-0.8
Special education teachers;"=""25-2050""";506.4;502.7;-0.7;-3.6
Special education teachers, preschool;"=""25-2051""";16.3;16.2;-0.5;-0.1
Special education teachers, kindergarten and elementary school;"=""25-2052""";209.4;207.6;-0.9;-1.8
Special education teachers, middle school;"=""25-2057""";88.2;87.4;-0.9;-0.8
Special education teachers, secondary school;"=""25-2058""";156.4;155.4;-0.7;-1.1
Special education teachers, all other;"=""25-2059""";36.0;36.1;0.3;0.1
Other teachers and instructors;"=""25-3000""";840.6;857.0;2.0;16.4
Adult basic education, adult secondary education, and english as a second language instructors;"=""25-3011""";30.8;26.5;-14.2;-4.4
Self-enrichment teachers;"=""25-3021""";184.9;190.3;2.9;5.4
Substitute teachers, short-term;"=""25-3031""";387.4;401.8;3.7;14.4
Tutors;"=""25-3041""";152.9;153.2;0.2;0.3
Teachers and instructors, all other;"=""25-3099""";84.5;85.2;0.8;0.7
Librarians, curators, and archivists;"=""25-4000""";111.1;109.5;-1.4;-1.6
Archivists, curators, and museum technicians;"=""25-4010""";5.8;6.0;3.0;0.2
Archivists;"=""25-4011""";1.7;1.8;2.5;0.0
Curators;"=""25-4012""";2.2;2.3;3.3;0.1
Museum technicians and conservators;"=""25-4013""";1.9;2.0;3.0;0.1
Librarians and media collections specialists;"=""25-4022""";78.2;78.7;0.6;0.5
Library technicians;"=""25-4031""";27.0;24.8;-8.3;-2.2
Other educational instruction and library occupations;"=""25-9000""";1622.9;1627.2;0.3;4.3
Farm and home management educators;"=""25-9021""";7.5;7.4;-1.7;-0.1
Instructional coordinators;"=""25-9031""";175.5;177.6;1.2;2.1
Teaching assistants;"=""25-9040""";1329.2;1329.7;0.0;0.4
Teaching assistants, postsecondary;"=""25-9044""";181.6;188.9;4.0;7.3
Teaching assistants, except postsecondary;"=""25-9045""";1147.6;1140.8;-0.6;-6.8
Educational instruction and library workers, all other;"=""25-9099""";110.7;112.6;1.7;1.9
Arts, design, entertainment, sports, and media occupations;"=""27-0000""";305.9;318.5;4.1;12.6
Art and design workers;"=""27-1000""";14.9;15.4;3.1;0.5
Artists and related workers;"=""27-1010""";3.8;3.9;3.0;0.1
Art directors;"=""27-1011""";1.6;1.6;2.7;0.0
Fine artists, including painters, sculptors, and illustrators;"=""27-1013""";0.9;0.9;3.0;0.0
Special effects artists and animators;"=""27-1014""";0.5;0.6;3.8;0.0
Artists and related workers, all other;"=""27-1019""";0.8;0.8;3.3;0.0
Designers;"=""27-1020""";11.1;11.5;3.1;0.3
Commercial and industrial designers;"=""27-1021""";0.1;0.1;3.6;0.0
Fashion designers;"=""27-1022""";0.2;0.2;7.2;0.0
Graphic designers;"=""27-1024""";9.2;9.4;3.1;0.3
Interior designers;"=""27-1025""";0.3;0.3;4.0;0.0
Set and exhibit designers;"=""27-1027""";1.1;1.1;2.1;0.0
Designers, all other;"=""27-1029""";0.4;0.4;3.1;0.0
Entertainers and performers, sports and related workers;"=""27-2000""";205.3;215.6;5.0;10.4
Actors, producers, and directors;"=""27-2010""";9.6;9.8;2.6;0.3
Actors;"=""27-2011""";3.4;3.5;2.1;0.1
Producers and directors;"=""27-2012""";6.2;6.3;2.9;0.2
Athletes, coaches, umpires, and related workers;"=""27-2020""";185.2;195.2;5.4;9.9
Athletes and sports competitors;"=""27-2021""";0.1;0.2;4.9;0.0
Coaches and scouts;"=""27-2022""";183.5;193.4;5.4;9.9
Umpires, referees, and other sports officials;"=""27-2023""";1.6;1.7;2.5;0.0
Dancers and choreographers;"=""27-2030""";2.8;2.8;2.8;0.1
Dancers;"=""27-2031""";0.4;0.4;2.8;0.0
Choreographers;"=""27-2032""";2.3;2.4;2.9;0.1
Musicians, singers, and related workers;"=""27-2040""";6.2;6.3;0.6;0.0
Music directors and composers;"=""27-2041""";1.6;1.5;-2.1;0.0
Musicians and singers;"=""27-2042""";4.7;4.7;1.5;0.1
Miscellaneous entertainers and performers, sports and related workers;"=""27-2090""";1.5;1.5;3.5;0.1
Entertainers and performers, sports and related workers, all other;"=""27-2099""";1.4;1.5;3.6;0.1
Media and communication workers;"=""27-3000""";70.0;71.5;2.2;1.5
News analysts, reporters, and journalists;"=""27-3023""";0.7;0.8;3.1;0.0
Public relations specialists;"=""27-3031""";39.1;40.1;2.5;1.0
Writers and editors;"=""27-3040""";11.4;11.7;2.3;0.3
Editors;"=""27-3041""";6.2;6.4;3.2;0.2
Technical writers;"=""27-3042""";1.6;1.6;-2.1;0.0
Writers and authors;"=""27-3043""";3.6;3.7;2.6;0.1
Miscellaneous media and communication workers;"=""27-3090""";17.2;17.4;1.1;0.2
Interpreters and translators;"=""27-3091""";13.9;14.0;0.6;0.1
Court reporters and simultaneous captioners;"=""27-3092""";0.4;0.4;3.6;0.0
Media and communication workers, all other;"=""27-3099""";2.8;2.9;3.2;0.1
Media and communication equipment workers;"=""27-4000""";15.7;16.0;1.5;0.2
Broadcast, sound, and lighting technicians;"=""27-4010""";11.4;11.5;1.4;0.2
Audio and video technicians;"=""27-4011""";8.9;9.1;2.3;0.2
Broadcast technicians;"=""27-4012""";1.4;1.3;-1.0;0.0
Sound engineering technicians;"=""27-4014""";0.9;0.9;-1.8;0.0
Lighting technicians;"=""27-4015""";0.2;0.2;-7.4;0.0
Photographers;"=""27-4021""";1.3;1.3;2.7;0.0
Television, video, and film camera operators and editors;"=""27-4030""";1.8;1.8;0.7;0.0
Camera operators, television, video, and film;"=""27-4031""";1.0;1.0;-1.9;0.0
Film and video editors;"=""27-4032""";0.8;0.8;4.0;0.0
Media and communication equipment workers, all other;"=""27-4099""";1.3;1.4;2.8;0.0
Healthcare practitioners and technical occupations;"=""29-0000""";350.0;364.5;4.1;14.5
Healthcare diagnosing or treating practitioners;"=""29-1000""";273.0;284.0;4.0;11.1
Dentists;"=""29-1020""";0.7;0.7;4.1;0.0
Dentists, general;"=""29-1021""";0.6;0.6;4.1;0.0
Dietitians and nutritionists;"=""29-1031""";2.7;2.8;1.8;0.0
Optometrists;"=""29-1041""";0.1;0.1;2.8;0.0
Pharmacists;"=""29-1051""";2.7;2.9;5.6;0.2
Physician assistants;"=""29-1071""";4.6;4.7;3.5;0.2
Therapists;"=""29-1120""";104.0;111.6;7.3;7.6
Occupational therapists;"=""29-1122""";19.8;19.9;0.3;0.1
Physical therapists;"=""29-1123""";7.8;7.8;0.9;0.1
Radiation therapists;"=""29-1124""";0.2;0.2;3.0;0.0
Recreational therapists;"=""29-1125""";0.3;0.3;1.5;0.0
Respiratory therapists;"=""29-1126""";0.9;1.0;14.6;0.1
Speech-language pathologists;"=""29-1127""";73.2;80.4;9.9;7.3
Exercise physiologists;"=""29-1128""";0.1;0.1;3.0;0.0
Therapists, all other;"=""29-1129""";1.7;1.8;0.7;0.0
Veterinarians;"=""29-1131""";1.0;1.1;4.6;0.0
Registered nurses;"=""29-1141""";101.6;102.9;1.3;1.4
Nurse anesthetists;"=""29-1151""";1.2;1.2;3.1;0.0
Nurse midwives;"=""29-1161""";0.1;0.1;3.0;0.0
Nurse practitioners;"=""29-1171""";9.9;10.2;3.0;0.3
Audiologists;"=""29-1181""";1.5;1.5;1.6;0.0
Physicians;"=""29-1210""";38.7;39.9;3.0;1.2
Anesthesiologists;"=""29-1211""";0.8;0.8;4.8;0.0
Cardiologists;"=""29-1212""";0.3;0.4;3.6;0.0
Dermatologists;"=""29-1213""";0.1;0.1;4.2;0.0
Emergency medicine physicians;"=""29-1214""";0.8;0.9;4.2;0.0
Family medicine physicians;"=""29-1215""";2.5;2.6;3.3;0.1
General internal medicine physicians;"=""29-1216""";8.6;8.8;2.7;0.2
Neurologists;"=""29-1217""";0.4;0.4;3.3;0.0
Obstetricians and gynecologists;"=""29-1218""";0.5;0.5;3.7;0.0
Pediatricians, general;"=""29-1221""";1.5;1.6;3.7;0.1
Physicians, pathologists;"=""29-1222""";0.6;0.6;4.9;0.0
Psychiatrists;"=""29-1223""";1.4;1.5;3.2;0.0
Radiologists;"=""29-1224""";0.7;0.8;4.8;0.0
Physicians, all other;"=""29-1229""";20.3;20.9;2.8;0.6
Surgeons;"=""29-1240""";1.8;1.9;4.4;0.1
Ophthalmologists, except pediatric;"=""29-1241""";0.1;0.2;4.1;0.0
Orthopedic surgeons, except pediatric;"=""29-1242""";0.3;0.4;4.4;0.0
Surgeons, all other;"=""29-1249""";1.3;1.4;4.4;0.1
Miscellaneous healthcare diagnosing or treating practitioners;"=""29-1290""";2.2;2.3;3.5;0.1
Acupuncturists;"=""29-1291""";0.3;0.3;1.3;0.0
Dental hygienists;"=""29-1292""";0.8;0.8;3.2;0.0
Healthcare diagnosing or treating practitioners, all other;"=""29-1299""";1.2;1.2;4.3;0.0
Health technologists and technicians;"=""29-2000""";57.6;59.3;3.1;1.8
Clinical laboratory technologists and technicians;"=""29-2010""";16.4;17.0;3.5;0.6
Diagnostic related technologists and technicians;"=""29-2030""";4.6;4.8;4.6;0.2
Cardiovascular technologists and technicians;"=""29-2031""";0.7;0.7;4.6;0.0
Diagnostic medical sonographers;"=""29-2032""";1.0;1.1;4.4;0.0
Nuclear medicine technologists;"=""29-2033""";0.2;0.2;3.8;0.0
Radiologic technologists and technicians;"=""29-2034""";2.2;2.3;5.0;0.1
Magnetic resonance imaging technologists;"=""29-2035""";0.4;0.4;3.4;0.0
Medical dosimetrists;"=""29-2036""";0.1;0.1;2.0;0.0
Emergency medical technicians and paramedics;"=""29-2040""";0.9;1.0;4.1;0.0
Emergency medical technicians;"=""29-2042""";0.7;0.7;3.8;0.0
Paramedics;"=""29-2043""";0.2;0.2;4.8;0.0
Health practitioner support technologists and technicians;"=""29-2050""";11.2;11.6;3.9;0.4
Dietetic technicians;"=""29-2051""";0.3;0.3;0.3;0.0
Pharmacy technicians;"=""29-2052""";1.6;1.7;5.9;0.1
Surgical technologists;"=""29-2055""";0.9;1.0;5.7;0.1
Veterinary technologists and technicians;"=""29-2056""";4.2;4.4;4.9;0.2
Ophthalmic medical technicians;"=""29-2057""";0.6;0.7;3.2;0.0
Licensed practical and licensed vocational nurses;"=""29-2061""";15.5;15.7;1.2;0.2
Medical records specialists;"=""29-2072""";3.7;3.9;6.7;0.2
Opticians, dispensing;"=""29-2081""";0.2;0.3;2.9;0.0
Miscellaneous health technologists and technicians;"=""29-2090""";4.9;5.0;1.2;0.1
Hearing aid specialists;"=""29-2092""";0.1;0.1;5.6;0.0
Health technologists and technicians, all other;"=""29-2099""";4.8;4.9;1.1;0.1
Other healthcare practitioners and technical occupations;"=""29-9000""";19.5;21.2;8.7;1.7
Health information technologists and medical registrars;"=""29-9021""";1.1;1.2;14.6;0.2
Miscellaneous health practitioners and technical workers;"=""29-9090""";18.5;20.0;8.4;1.5
Athletic trainers;"=""29-9091""";13.7;15.1;10.6;1.4
Genetic counselors;"=""29-9092""";0.3;0.3;12.9;0.0
Surgical assistants;"=""29-9093""";0.1;0.1;9.8;0.0
Healthcare practitioners and technical workers, all other;"=""29-9099""";4.5;4.5;1.4;0.1
Healthcare support occupations;"=""31-0000""";61.2;62.5;2.1;1.3
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides";"=""31-1100""";21.0;21.3;1.6;0.3
Home health and personal care aides;"=""31-1120""";7.2;7.3;0.6;0.0
Nursing assistants, orderlies, and psychiatric aides;"=""31-1130""";13.8;14.0;2.0;0.3
Nursing assistants;"=""31-1131""";12.9;13.2;1.8;0.2
Orderlies;"=""31-1132""";0.8;0.8;5.9;0.0
Occupational therapy and physical therapist assistants and aides;"=""31-2000""";4.4;4.5;1.5;0.1
Occupational therapy assistants and aides;"=""31-2010""";3.5;3.5;1.5;0.1
Occupational therapy assistants;"=""31-2011""";3.3;3.3;1.8;0.1
Occupational therapy aides;"=""31-2012""";0.2;0.2;-5.3;0.0
Physical therapist assistants and aides;"=""31-2020""";1.0;1.0;1.6;0.0
Physical therapist assistants;"=""31-2021""";0.9;0.9;2.6;0.0
Physical therapist aides;"=""31-2022""";0.1;0.1;-8.4;0.0
Other healthcare support occupations;"=""31-9000""";35.8;36.7;2.5;0.9
Massage therapists;"=""31-9011""";0.5;0.5;2.8;0.0
Miscellaneous healthcare support occupations;"=""31-9090""";35.4;36.2;2.5;0.9
Dental assistants;"=""31-9091""";3.4;3.5;3.7;0.1
Medical assistants;"=""31-9092""";11.3;11.7;3.6;0.4
Medical equipment preparers;"=""31-9093""";1.1;1.2;5.2;0.1
Medical transcriptionists;"=""31-9094""";0.3;0.3;5.1;0.0
Pharmacy aides;"=""31-9095""";0.1;0.1;4.3;0.0
Veterinary assistants and laboratory animal caretakers;"=""31-9096""";5.0;5.1;3.7;0.2
Phlebotomists;"=""31-9097""";0.7;0.7;4.6;0.0
Healthcare support workers, all other;"=""31-9099""";13.6;13.6;0.4;0.1
Protective service occupations;"=""33-0000""";202.2;193.8;-4.1;-8.4
Supervisors of protective service workers;"=""33-1000""";10.6;10.7;0.2;0.0
First-line supervisors of law enforcement workers;"=""33-1010""";5.3;5.5;3.1;0.2
First-line supervisors of police and detectives;"=""33-1012""";5.3;5.5;3.1;0.2
First-line supervisors of firefighting and prevention workers;"=""33-1021""";0.1;0.1;3.9;0.0
Miscellaneous first-line supervisors, protective service workers;"=""33-1090""";5.2;5.0;-2.8;-0.1
First-line supervisors of security workers;"=""33-1091""";4.4;4.3;-3.4;-0.1
First-line supervisors of protective service workers, all other;"=""33-1099""";0.7;0.8;0.7;0.0
Firefighting and prevention workers;"=""33-2000""";0.7;0.7;3.9;0.0
Firefighters;"=""33-2011""";0.4;0.4;3.0;0.0
Fire inspectors;"=""33-2020""";0.3;0.3;5.1;0.0
Fire inspectors and investigators;"=""33-2021""";0.3;0.3;3.5;0.0
Law enforcement workers;"=""33-3000""";32.4;33.2;2.4;0.8
Detectives and criminal investigators;"=""33-3021""";0.4;0.4;4.0;0.0
Parking enforcement workers;"=""33-3041""";1.1;1.1;-0.5;0.0
Police officers;"=""33-3050""";30.9;31.7;2.5;0.8
Police and sheriff's patrol officers;"=""33-3051""";30.9;31.7;2.5;0.8
Other protective service workers;"=""33-9000""";158.5;149.3;-5.8;-9.2
Private detectives and investigators;"=""33-9021""";0.4;0.4;1.8;0.0
Security guards and gambling surveillance officers;"=""33-9030""";75.7;70.0;-7.5;-5.7
Security guards;"=""33-9032""";75.7;70.0;-7.5;-5.7
Miscellaneous protective service workers;"=""33-9090""";82.4;78.8;-4.3;-3.5
Crossing guards and flaggers;"=""33-9091""";8.9;8.8;-0.9;-0.1
Lifeguards, ski patrol, and other recreational protective service workers;"=""33-9092""";6.6;6.7;1.5;0.1
School bus monitors;"=""33-9094""";32.8;29.5;-10.1;-3.3
Protective service workers, all other;"=""33-9099""";34.0;33.8;-0.7;-0.2
Food preparation and serving related occupations;"=""35-0000""";369.8;359.5;-2.8;-10.3
Supervisors of food preparation and serving workers;"=""35-1000""";46.3;44.6;-3.6;-1.7
Chefs and head cooks;"=""35-1011""";6.0;6.1;0.9;0.1
First-line supervisors of food preparation and serving workers;"=""35-1012""";40.3;38.6;-4.3;-1.7
Cooks and food preparation workers;"=""35-2000""";183.1;175.1;-4.4;-8.1
Cooks;"=""35-2010""";150.3;149.5;-0.5;-0.7
Cooks, fast food;"=""35-2011""";0.3;0.3;-0.1;0.0
Cooks, institution and cafeteria;"=""35-2012""";149.3;148.5;-0.5;-0.8
Cooks, restaurant;"=""35-2014""";0.3;0.3;7.4;0.0
Cooks, short order;"=""35-2015""";0.3;0.3;1.6;0.0
Cooks, all other;"=""35-2019""";0.1;0.1;2.1;0.0
Food preparation workers;"=""35-2021""";32.9;25.5;-22.3;-7.3
Food and beverage serving workers;"=""35-3000""";102.4;102.0;-0.4;-0.4
Fast food and counter workers;"=""35-3023""";97.2;96.7;-0.5;-0.5
Waiters and waitresses;"=""35-3031""";1.1;1.1;1.6;0.0
Food servers, nonrestaurant;"=""35-3041""";3.7;3.7;0.1;0.0
Other food preparation and serving related workers;"=""35-9000""";37.9;37.8;-0.2;-0.1
Dining room and cafeteria attendants and bartender helpers;"=""35-9011""";31.1;30.9;-0.3;-0.1
Dishwashers;"=""35-9021""";2.4;2.4;1.3;0.0
Hosts and hostesses, restaurant, lounge, and coffee shop;"=""35-9031""";0.1;0.1;3.3;0.0
Food preparation and serving related workers, all other;"=""35-9099""";4.4;4.4;-0.4;0.0
Building and grounds cleaning and maintenance occupations;"=""37-0000""";486.4;488.3;0.4;1.9
Supervisors of building and grounds cleaning and maintenance workers;"=""37-1000""";27.5;27.7;0.8;0.2
First-line supervisors of housekeeping and janitorial workers;"=""37-1011""";24.1;24.2;0.6;0.1
First-line supervisors of landscaping, lawn service, and groundskeeping workers;"=""37-1012""";3.5;3.5;2.4;0.1
Building cleaning and pest control workers;"=""37-2000""";423.4;424.5;0.2;1.0
Building cleaning workers;"=""37-2010""";423.1;424.1;0.2;1.0
Janitors and cleaners, except maids and housekeeping cleaners;"=""37-2011""";416.4;417.3;0.2;0.9
Maids and housekeeping cleaners;"=""37-2012""";6.6;6.8;1.8;0.1
Pest control workers;"=""37-2021""";0.3;0.3;1.6;0.0
Grounds maintenance workers;"=""37-3000""";35.5;36.1;1.7;0.6
Landscaping and groundskeeping workers;"=""37-3011""";34.7;35.3;1.7;0.6
Pesticide handlers, sprayers, and applicators, vegetation;"=""37-3012""";0.1;0.1;1.7;0.0
Tree trimmers and pruners;"=""37-3013""";0.2;0.2;4.0;0.0
Grounds maintenance workers, all other;"=""37-3019""";0.4;0.4;1.1;0.0
Personal care and service occupations;"=""39-0000""";227.0;231.3;1.9;4.2
Supervisors of personal care and service workers;"=""39-1000""";12.0;12.2;1.8;0.2
First-line supervisors of entertainment and recreation workers;"=""39-1010""";4.2;4.3;2.9;0.1
First-line supervisors of entertainment and recreation workers, except gambling services;"=""39-1014""";4.2;4.3;2.9;0.1
First-line supervisors of personal service workers;"=""39-1022""";7.8;7.9;1.2;0.1
Animal care and service workers;"=""39-2000""";3.3;3.5;3.5;0.1
Animal trainers;"=""39-2011""";0.3;0.3;3.4;0.0
Animal caretakers;"=""39-2021""";3.1;3.2;3.5;0.1
Entertainment attendants and related workers;"=""39-3000""";20.2;20.8;3.0;0.6
Ushers, lobby attendants, and ticket takers;"=""39-3031""";4.5;4.7;3.7;0.2
Miscellaneous entertainment attendants and related workers;"=""39-3090""";15.6;16.0;2.8;0.4
Amusement and recreation attendants;"=""39-3091""";12.6;13.0;3.1;0.4
Costume attendants;"=""39-3092""";0.7;0.7;2.5;0.0
Locker room, coatroom, and dressing room attendants;"=""39-3093""";1.2;1.2;0.7;0.0
Entertainment attendants and related workers, all other;"=""39-3099""";1.1;1.1;1.0;0.0
Funeral service workers;"=""39-4000""";0.1;0.1;3.5;0.0
Embalmers and crematory operators;"=""39-4010""";0.1;0.1;5.0;0.0
Embalmers;"=""39-4011""";0.1;0.1;4.9;0.0
